,crid,officer_id,cat_id,recc_finding,recc_outcome,finding_edit,outcome_edit,value,beat,location,add1,add2,city,incident_date,start_date,end_date,investigator_id,final_outcome_class
18912,1057429,8822.0,03G,,600.0,No Affidavit,Unsustained,0,1634.0,17,3200.0,N CICERO AVE,CHICAGO IL,2012-09-29 21:45:00,2012-09-29,2012-11-05,1292.0,not-sustained
18913,1057888,8822.0,05B,NS,600.0,Not Sustained,Unsustained,0,2533.0,17,5000.0,W CRYSTAL ST,CHICAGO IL 60651,2012-10-20 00:00:00,2012-10-20,2014-04-21,960.0,not-sustained
18914,1059099,8822.0,01B,NS,600.0,Not Sustained,Unsustained,0,2513.0,17,1651.0,N NAGLE AVE,CHICAGO IL,2012-12-16 15:30:00,2012-12-18,2014-01-24,291.0,not-sustained
18915,1062641,8822.0,05B,NS,600.0,Not Sustained,Unsustained,0,2522.0,17,4752.0,W ARMITAGE AVE,CHICAGO IL,2013-06-03 12:30:00,2013-06-03,2013-12-12,1.0,not-sustained
18916,1065993,8822.0,,,,Unknown,Unknown,?,2534.0,17,4027.0,W LE MOYNE ST,CHICAGO IL 00000,2013-11-08 22:45:00,2013-11-09,,960.0,open-investigation
18917,1072270,8822.0,,,,Unknown,Unknown,?,2535.0,17,1200.0,N HAMLIN AVE,CHICAGO IL 60651,2014-10-28 14:53:00,2014-10-28,,960.0,open-investigation
18918,1068928,8823.0,10U,NS,600.0,Not Sustained,Unsustained,0,1134.0,04,3151.0,W HARRISON ST,CHICAGO IL,2013-07-26 10:30:00,2014-05-02,2014-10-20,794.0,not-sustained
18919,1066659,8823.0,10U,,600.0,No Affidavit,Unsustained,0,423.0,17,9343.0,S PHILLIPS AVE,CHICAGO IL,2013-12-18 13:00:00,2013-12-18,2014-06-02,794.0,not-sustained
18921,1072612,8824.0,,,,Unknown,Unknown,?,2515.0,04,5555.0,W GRAND AVE,CHICAGO IL 60639,2014-11-18 17:20:00,2014-11-18,,381.0,open-investigation
18922,1057769,8826.0,03B,,600.0,No Affidavit,Unsustained,0,1924.0,17,800.0,W BELMONT AVE,CHICAGO IL,2012-10-13 23:30:00,2012-10-14,2012-12-10,1163.0,not-sustained
18923,1065615,8826.0,01A,NS,600.0,Not Sustained,Unsustained,0,1914.0,17,4532.0,N HAZEL ST,CHICAGO IL,2013-10-03 02:00:00,2013-10-19,2014-01-28,1.0,not-sustained
18924,1072596,8827.0,03G,,600.0,No Affidavit,Unsustained,0,2534.0,17,4112.0,W POTOMAC AVE,CHICAGO IL,2014-11-18 00:01:00,2014-11-18,2015-02-13,362.0,not-sustained
18925,1058843,8828.0,03G,,600.0,No Affidavit,Unsustained,0,624.0,17,7900.0,S COTTAGE GROVE AVE,CHICAGO IL 60619,2012-12-05 11:00:00,2012-12-06,2013-08-01,482.0,not-sustained
